application_type,homeownership,interest_rate,loan_amount
individual,MORTGAGE,9.43,30000
individual,MORTGAGE,11.98,18000
individual,OWN,5.32,28000
individual,RENT,18.06,35000
individual,MORTGAGE,11.98,12000
individual,RENT,10.9,18000
joint,RENT,21.45,30000
individual,RENT,11.98,14000
individual,MORTGAGE,6.07,36000
individual,MORTGAGE,6.72,5500
individual,RENT,10.41,16000
individual,MORTGAGE,7.35,40000
individual,RENT,10.9,10000
individual,MORTGAGE,19.03,14000
individual,MORTGAGE,6.71,19000
individual,MORTGAGE,11.99,12000
individual,RENT,10.42,7000
individual,RENT,17.47,20000
individual,RENT,9.93,10000
individual,RENT,15.05,10500
individual,MORTGAGE,10.9,15000
individual,MORTGAGE,13.59,18000
individual,RENT,19.03,13600
individual,MORTGAGE,19.42,20000
individual,RENT,19.03,3000
individual,MORTGAGE,14.08,4100
individual,MORTGAGE,6.08,7300
joint,MORTGAGE,5.31,20000
joint,MORTGAGE,13.59,20000
individual,RENT,16.02,28000
individual,RENT,14.08,35000
individual,MORTGAGE,6.07,10000
individual,RENT,11.98,5000
individual,RENT,13.59,35000
individual,RENT,10.41,16000
individual,RENT,20.0,30000
individual,RENT,7.97,4400
individual,OWN,9.44,10000
individual,MORTGAGE,14.08,8500
individual,RENT,21.45,20000
individual,OWN,9.93,9000
joint,MORTGAGE,12.61,24000
individual,OWN,5.32,10000
joint,RENT,7.96,10000
joint,RENT,5.32,9500
individual,MORTGAGE,7.35,8000
individual,RENT,16.02,10000
joint,MORTGAGE,5.32,15000
individual,MORTGAGE,6.72,23000
individual,RENT,26.3,12000
individual,MORTGAGE,12.62,10000
individual,MORTGAGE,19.42,35000
individual,RENT,11.98,10000
individual,OWN,10.42,6500
joint,RENT,7.97,10000
individual,MORTGAGE,9.43,40000
joint,OWN,16.02,16000
individual,RENT,10.42,4000
individual,MORTGAGE,9.43,5000
individual,OWN,14.08,20000
individual,MORTGAGE,20.0,3500
individual,RENT,20.0,15000
individual,MORTGAGE,10.41,15000
joint,RENT,18.45,11400
individual,MORTGAGE,12.62,24000
individual,OWN,10.42,20000
individual,MORTGAGE,5.31,40000
joint,MORTGAGE,11.99,15000
individual,MORTGAGE,10.9,8475
joint,OWN,17.09,30000
individual,RENT,5.32,7000
individual,OWN,22.9,25000
individual,RENT,10.42,10000
individual,RENT,10.42,16000
individual,MORTGAGE,6.07,15000
joint,MORTGAGE,14.07,40000
joint,RENT,10.9,40000
individual,OWN,10.91,10000
individual,RENT,17.47,3000
individual,MORTGAGE,12.62,2500
individual,MORTGAGE,7.96,20000
individual,RENT,7.97,10000
individual,RENT,13.58,16000
individual,OWN,26.77,20000
individual,MORTGAGE,9.43,6000
individual,RENT,23.88,25000
individual,RENT,11.99,9600
individual,MORTGAGE,6.07,24000
individual,MORTGAGE,14.08,25000
individual,RENT,14.07,5000
joint,MORTGAGE,15.04,20000
individual,OWN,7.34,20000
individual,MORTGAGE,9.43,26400
individual,RENT,9.92,10000
joint,RENT,19.03,25000
joint,RENT,15.04,10000
individual,RENT,13.59,1600
individual,MORTGAGE,11.99,15000
individual,MORTGAGE,21.85,10000
individual,OWN,10.91,10000
individual,RENT,9.43,20000
individual,MORTGAGE,5.31,14000
individual,RENT,5.31,7000
individual,RENT,5.32,4000
individual,RENT,7.97,10000
individual,MORTGAGE,6.72,20000
joint,MORTGAGE,15.05,20000
individual,MORTGAGE,7.96,2500
individual,MORTGAGE,18.06,5500
individual,RENT,13.59,12000
individual,MORTGAGE,17.09,6500
individual,RENT,11.98,2500
joint,MORTGAGE,11.99,5000
individual,RENT,20.0,8000
joint,MORTGAGE,7.35,18000
individual,RENT,10.41,1000
individual,MORTGAGE,10.42,10800
individual,OWN,7.34,40000
individual,RENT,7.34,12500
individual,MORTGAGE,16.01,6000
individual,RENT,15.05,12000
individual,RENT,14.08,12000
individual,OWN,9.92,15000
individual,RENT,15.04,8000
individual,MORTGAGE,9.44,6000
individual,MORTGAGE,13.59,12000
individual,OWN,6.72,12000
individual,MORTGAGE,13.59,20000
individual,MORTGAGE,30.79,25000
joint,MORTGAGE,9.93,24000
individual,MORTGAGE,15.05,25000
individual,MORTGAGE,7.96,4800
individual,RENT,7.34,9600
joint,MORTGAGE,10.42,22000
individual,RENT,14.08,10000
individual,RENT,11.98,5000
individual,RENT,7.35,3000
individual,MORTGAGE,13.58,10000
joint,MORTGAGE,13.58,40000
individual,RENT,16.02,19500
individual,RENT,7.35,8500
individual,RENT,17.09,10000
individual,MORTGAGE,15.05,6500
individual,RENT,18.45,24450
individual,RENT,19.42,15000
individual,MORTGAGE,10.42,24000
individual,MORTGAGE,14.08,11000
individual,RENT,12.61,40000
individual,OWN,19.03,14000
individual,RENT,19.03,17000
joint,RENT,7.34,5000
individual,OWN,13.59,7200
individual,RENT,9.44,7000
individual,MORTGAGE,9.92,20700
individual,RENT,26.77,20700
individual,OWN,10.41,9000
individual,MORTGAGE,19.03,10000
individual,RENT,9.92,35000
individual,RENT,11.99,10000
individual,MORTGAGE,17.09,4500
individual,RENT,11.98,5000
joint,RENT,17.09,15000
individual,MORTGAGE,10.41,12000
individual,RENT,18.06,16800
individual,RENT,6.72,6000
individual,MORTGAGE,9.43,10000
individual,RENT,21.45,4800
individual,MORTGAGE,10.41,15000
individual,MORTGAGE,11.99,12000
individual,MORTGAGE,5.32,5800
joint,MORTGAGE,9.44,40000
individual,MORTGAGE,10.9,24000
individual,MORTGAGE,9.44,36000
individual,MORTGAGE,9.92,15000
individual,MORTGAGE,7.35,15000
individual,MORTGAGE,11.98,30000
individual,RENT,7.96,10000
individual,RENT,19.03,1000
individual,RENT,10.91,1800
individual,MORTGAGE,12.61,9600
individual,MORTGAGE,10.41,35000
individual,MORTGAGE,13.58,28000
individual,RENT,9.92,5600
individual,RENT,6.08,6000
individual,RENT,13.59,10000
individual,RENT,10.41,30000
individual,RENT,21.85,22300
individual,MORTGAGE,9.44,10000
individual,MORTGAGE,7.97,35000
individual,MORTGAGE,12.61,16800
individual,RENT,7.34,10000
individual,OWN,14.07,10000
joint,OWN,16.01,16000
joint,MORTGAGE,6.07,22000
individual,RENT,10.42,24000
individual,MORTGAGE,6.71,13000
individual,OWN,7.35,13000
individual,MORTGAGE,9.93,6500
individual,RENT,12.61,4000
individual,MORTGAGE,14.08,9000
individual,RENT,9.44,40000
individual,MORTGAGE,5.31,3300
joint,MORTGAGE,12.61,6025
joint,RENT,7.34,8000
individual,MORTGAGE,6.07,5000
individual,RENT,10.41,24000
individual,OWN,19.42,10000
individual,MORTGAGE,6.08,5000
individual,RENT,20.0,18000
individual,RENT,5.32,15000
individual,RENT,13.58,20000
individual,RENT,11.98,9000
joint,RENT,14.07,20000
individual,MORTGAGE,15.05,40000
individual,RENT,13.58,25000
joint,MORTGAGE,10.42,27825
joint,MORTGAGE,10.42,24000
individual,OWN,5.32,40000
individual,OWN,6.72,35000
individual,MORTGAGE,7.97,40000
joint,RENT,12.61,10000
individual,RENT,9.92,40000
individual,RENT,7.96,6000
individual,MORTGAGE,13.59,15000
individual,OWN,14.08,8500
individual,RENT,23.88,13200
individual,RENT,7.34,5000
individual,RENT,21.45,3200
individual,RENT,9.44,14400
individual,RENT,12.62,5000
individual,MORTGAGE,15.05,30000
individual,RENT,13.58,6000
joint,MORTGAGE,10.41,15000
individual,MORTGAGE,9.93,18000
individual,RENT,7.97,4000
individual,MORTGAGE,17.09,28000
joint,RENT,13.59,10000
individual,MORTGAGE,14.07,8500
individual,RENT,7.96,12000
individual,MORTGAGE,21.45,20000
individual,RENT,9.43,20000
individual,MORTGAGE,9.44,30750
individual,RENT,16.01,8400
individual,MORTGAGE,7.97,9000
individual,MORTGAGE,23.88,30000
individual,RENT,19.42,35000
individual,RENT,10.41,16000
individual,OWN,19.03,11200
individual,RENT,17.47,22000
individual,RENT,10.91,9000
individual,RENT,11.99,5000
individual,MORTGAGE,10.91,8000
individual,RENT,9.93,5000
individual,OWN,14.07,7000
individual,MORTGAGE,7.34,12000
individual,RENT,7.97,13500
individual,RENT,9.92,5500
individual,MORTGAGE,13.59,10775
individual,MORTGAGE,11.98,5000
individual,MORTGAGE,21.45,20000
individual,MORTGAGE,19.03,16000
individual,MORTGAGE,7.96,21000
individual,MORTGAGE,19.03,15000
individual,RENT,16.01,20000
individual,MORTGAGE,12.62,28000
individual,MORTGAGE,5.31,20000
individual,MORTGAGE,18.45,24000
individual,MORTGAGE,11.99,35525
individual,RENT,15.04,5000
individual,MORTGAGE,12.62,17000
individual,MORTGAGE,6.08,6400
individual,MORTGAGE,5.32,17000
joint,MORTGAGE,20.0,26400
individual,MORTGAGE,9.92,24000
individual,RENT,17.47,10000
individual,OWN,21.45,8000
individual,RENT,13.58,5000
individual,MORTGAGE,21.45,23000
individual,RENT,16.01,12000
joint,MORTGAGE,15.04,35000
individual,RENT,20.0,3000
individual,MORTGAGE,14.07,7800
individual,RENT,10.9,20000
joint,RENT,17.09,19200
joint,MORTGAGE,7.34,40000
individual,RENT,7.96,16000
individual,MORTGAGE,6.07,10000
individual,MORTGAGE,6.08,9600
individual,MORTGAGE,10.9,17000
individual,MORTGAGE,10.42,22400
individual,MORTGAGE,13.58,20000
individual,MORTGAGE,16.02,10000
individual,MORTGAGE,7.97,10000
individual,MORTGAGE,11.99,4800
joint,MORTGAGE,17.09,16000
individual,MORTGAGE,6.08,35000
individual,OWN,9.44,2500
individual,OWN,5.32,15000
joint,RENT,9.93,15000
individual,RENT,15.05,20000
joint,MORTGAGE,14.07,10000
individual,RENT,10.42,7500
individual,MORTGAGE,12.62,10000
individual,MORTGAGE,14.07,9000
individual,MORTGAGE,14.07,25000
individual,MORTGAGE,6.08,4000
individual,RENT,9.44,5000
individual,OWN,19.42,24000
individual,RENT,20.0,15000
individual,MORTGAGE,14.07,10000
individual,MORTGAGE,9.93,14000
individual,MORTGAGE,16.01,10000
individual,RENT,16.01,16000
individual,OWN,15.05,10000
individual,MORTGAGE,13.58,4150
individual,MORTGAGE,10.42,10000
individual,MORTGAGE,12.62,35000
individual,MORTGAGE,12.62,5000
individual,RENT,6.08,11000
individual,MORTGAGE,18.06,21200
individual,RENT,10.42,2000
joint,MORTGAGE,10.9,36000
individual,OWN,7.96,20000
individual,RENT,9.93,16000
individual,MORTGAGE,9.93,10000
individual,MORTGAGE,15.05,5000
individual,RENT,9.43,10400
individual,MORTGAGE,10.9,35000
individual,MORTGAGE,10.42,40000
individual,OWN,7.97,35000
individual,RENT,5.31,40000
individual,OWN,7.35,3000
individual,RENT,5.31,4800
individual,RENT,16.02,35000
individual,OWN,6.72,19000
joint,RENT,17.47,18000
individual,MORTGAGE,9.43,4200
individual,RENT,15.04,10000
joint,MORTGAGE,7.96,15000
joint,MORTGAGE,19.03,10000
individual,MORTGAGE,5.32,22000
individual,MORTGAGE,13.58,40000
individual,OWN,10.9,6000
individual,RENT,11.99,15000
joint,OWN,7.96,3600
individual,OWN,15.04,9000
individual,OWN,7.34,12000
individual,RENT,9.43,13000
joint,RENT,9.92,6000
individual,RENT,7.34,5000
individual,RENT,20.0,17250
joint,RENT,24.85,20000
individual,RENT,14.07,15000
individual,MORTGAGE,10.91,15000
individual,RENT,10.41,13000
individual,MORTGAGE,12.62,16000
individual,OWN,10.42,13200
individual,MORTGAGE,6.71,3000
individual,OWN,7.97,17000
individual,MORTGAGE,7.97,10000
individual,MORTGAGE,13.58,14400
individual,RENT,5.32,7500
individual,RENT,15.04,6000
individual,MORTGAGE,9.43,26250
individual,RENT,14.08,8400
individual,OWN,9.44,1500
joint,OWN,18.06,15000
individual,RENT,26.3,16000
individual,OWN,7.34,4200
individual,RENT,5.32,30000
individual,RENT,19.03,19200
individual,OWN,15.05,12000
individual,MORTGAGE,10.91,3600
individual,MORTGAGE,6.72,7000
individual,MORTGAGE,12.61,25000
individual,RENT,16.02,6000
individual,RENT,12.62,12000
joint,OWN,10.9,20000
individual,MORTGAGE,16.02,12000
individual,RENT,9.44,10000
individual,RENT,21.45,12000
individual,MORTGAGE,9.43,10000
individual,RENT,19.42,10000
individual,MORTGAGE,5.32,20000
individual,RENT,10.91,25000
individual,MORTGAGE,6.72,17075
individual,RENT,7.35,7000
individual,MORTGAGE,10.91,1500
individual,RENT,28.72,15000
joint,MORTGAGE,13.59,24000
joint,MORTGAGE,10.42,3400
individual,RENT,5.31,21000
individual,MORTGAGE,14.08,14000
individual,RENT,6.08,15000
individual,RENT,9.44,25000
individual,RENT,9.44,20000
joint,MORTGAGE,13.59,15000
individual,MORTGAGE,12.61,16000
individual,MORTGAGE,10.42,25000
individual,MORTGAGE,23.88,1500
individual,RENT,12.61,5000
joint,MORTGAGE,15.05,5000
individual,MORTGAGE,10.91,8000
individual,MORTGAGE,6.71,10000
individual,OWN,15.05,35000
joint,OWN,12.62,12000
individual,OWN,7.97,10000
individual,RENT,15.04,30000
joint,MORTGAGE,22.9,29700
individual,OWN,11.98,10000
individual,RENT,16.02,28000
individual,MORTGAGE,7.34,1800
joint,RENT,11.99,38000
individual,MORTGAGE,20.39,15000
individual,MORTGAGE,7.34,20000
individual,RENT,6.08,10000
individual,MORTGAGE,13.58,25000
individual,RENT,6.08,4800
individual,RENT,14.08,10000
individual,OWN,10.9,20000
individual,RENT,18.06,10000
joint,RENT,12.61,25000
individual,MORTGAGE,13.59,40000
individual,MORTGAGE,7.97,1000
individual,MORTGAGE,12.61,16000
joint,MORTGAGE,7.96,14000
individual,OWN,17.47,27575
individual,MORTGAGE,6.07,3600
individual,MORTGAGE,12.62,35000
individual,RENT,9.92,5000
individual,MORTGAGE,11.99,15000
individual,RENT,7.34,1200
individual,RENT,16.01,30000
individual,RENT,15.05,24000
individual,MORTGAGE,16.01,16000
joint,MORTGAGE,9.44,14000
individual,RENT,9.92,15000
individual,MORTGAGE,13.59,20000
individual,MORTGAGE,15.04,14000
individual,MORTGAGE,20.39,11000
joint,OWN,6.08,16000
individual,OWN,19.42,7000
individual,RENT,19.42,16000
individual,MORTGAGE,9.44,21600
individual,MORTGAGE,14.07,14000
individual,MORTGAGE,9.44,35000
individual,RENT,9.92,4000
joint,OWN,7.34,7500
individual,MORTGAGE,6.08,16000
individual,MORTGAGE,9.92,15000
individual,MORTGAGE,14.08,20000
individual,MORTGAGE,18.06,24000
individual,MORTGAGE,19.03,8000
individual,RENT,19.03,10000
individual,MORTGAGE,9.93,7000
individual,RENT,11.99,36000
joint,MORTGAGE,7.34,25000
joint,OWN,7.35,18000
individual,MORTGAGE,12.61,6500
joint,RENT,10.91,5000
individual,MORTGAGE,21.45,20000
individual,RENT,9.44,24000
individual,MORTGAGE,12.62,35000
individual,OWN,13.58,3500
joint,MORTGAGE,16.02,9600
individual,MORTGAGE,21.45,5000
individual,MORTGAGE,6.71,10000
individual,RENT,14.08,20000
individual,MORTGAGE,12.61,24000
individual,OWN,6.08,3500
individual,RENT,9.92,13500
individual,OWN,5.31,40000
individual,RENT,20.39,15000
individual,MORTGAGE,13.59,4000
joint,MORTGAGE,9.93,40000
joint,MORTGAGE,20.0,31000
joint,RENT,14.07,7500
individual,RENT,11.99,7200
individual,MORTGAGE,14.08,16000
individual,OWN,21.45,5000
individual,MORTGAGE,9.44,25000
individual,MORTGAGE,18.45,30000
individual,RENT,10.9,3200
individual,RENT,11.99,6000
individual,MORTGAGE,6.71,40000
individual,RENT,6.72,11000
individual,MORTGAGE,6.08,40000
individual,MORTGAGE,24.84,12000
individual,RENT,21.45,23625
individual,OWN,17.47,14000
individual,RENT,6.72,40000
individual,MORTGAGE,14.07,8125
joint,MORTGAGE,16.02,11000
individual,OWN,12.62,35000
joint,RENT,13.58,18000
individual,RENT,5.31,16100
individual,MORTGAGE,12.62,5000
individual,OWN,13.58,10000
individual,RENT,15.05,8000
joint,RENT,9.92,25050
individual,MORTGAGE,9.44,25000
joint,MORTGAGE,15.05,5000
individual,RENT,12.62,20000
individual,MORTGAGE,9.44,12800
joint,RENT,15.05,18000
individual,MORTGAGE,7.35,24000
individual,MORTGAGE,11.99,25000
individual,RENT,10.9,5000
individual,MORTGAGE,9.43,20375
individual,MORTGAGE,10.42,11000
joint,MORTGAGE,12.62,25000
individual,MORTGAGE,12.61,9000
individual,MORTGAGE,14.08,24000
individual,RENT,15.05,19000
individual,OWN,9.93,8000
individual,MORTGAGE,9.92,15000
individual,RENT,9.44,7000
individual,RENT,18.06,8000
individual,MORTGAGE,10.91,5500
joint,RENT,21.85,17000
individual,RENT,25.82,15000
individual,MORTGAGE,9.92,12000
individual,RENT,20.0,24000
individual,MORTGAGE,7.97,20000
individual,RENT,14.08,35000
joint,MORTGAGE,12.62,24000
joint,RENT,10.42,15500
individual,RENT,18.45,18000
individual,RENT,13.59,4000
joint,RENT,6.08,15000
individual,MORTGAGE,21.45,25000
individual,RENT,10.42,8000
individual,MORTGAGE,10.91,5000
individual,OWN,16.02,12000
individual,RENT,17.09,4000
joint,MORTGAGE,9.44,2000
joint,RENT,16.02,16000
individual,RENT,13.58,4000
individual,RENT,7.35,4200
individual,MORTGAGE,9.43,20000
individual,MORTGAGE,11.98,40000
individual,RENT,11.98,10000
individual,MORTGAGE,10.91,7500
individual,RENT,13.59,3625
joint,MORTGAGE,10.9,18375
joint,MORTGAGE,18.45,30000
individual,MORTGAGE,13.59,10000
individual,RENT,18.06,3500
individual,RENT,6.72,40000
individual,MORTGAGE,10.42,20000
individual,RENT,10.42,8000
individual,MORTGAGE,7.97,5000
individual,RENT,19.42,8000
individual,MORTGAGE,6.08,25000
individual,MORTGAGE,5.31,12000
individual,MORTGAGE,13.59,34800
individual,RENT,10.91,20000
individual,MORTGAGE,12.61,22000
individual,MORTGAGE,13.59,16800
individual,OWN,18.06,35000
individual,MORTGAGE,10.9,40000
individual,RENT,20.0,12000
individual,MORTGAGE,7.34,15000
individual,MORTGAGE,5.31,22000
individual,RENT,16.01,16000
individual,RENT,16.01,6025
individual,MORTGAGE,11.99,30000
individual,OWN,9.44,20000
individual,OWN,16.01,10000
individual,MORTGAGE,10.41,5000
individual,RENT,24.85,24875
individual,RENT,9.92,3900
individual,RENT,10.91,6400
individual,MORTGAGE,6.71,16000
individual,MORTGAGE,6.08,12000
individual,OWN,6.72,10000
individual,RENT,10.42,7000
individual,MORTGAGE,7.35,25000
individual,RENT,17.47,4000
joint,MORTGAGE,11.99,40000
joint,MORTGAGE,15.05,25000
individual,MORTGAGE,20.39,26600
individual,OWN,9.44,17000
individual,MORTGAGE,5.31,15000
individual,RENT,12.61,5000
individual,MORTGAGE,7.34,25000
individual,RENT,25.82,12475
individual,RENT,18.06,15000
individual,MORTGAGE,9.43,1600
individual,OWN,6.07,40000
joint,MORTGAGE,20.0,40000
joint,MORTGAGE,7.34,40000
individual,RENT,10.42,10000
joint,MORTGAGE,11.99,40000
individual,MORTGAGE,7.96,10000
individual,MORTGAGE,7.34,10000
individual,RENT,20.0,14000
individual,OWN,18.45,5175
individual,OWN,9.92,8800
joint,MORTGAGE,12.61,24000
individual,MORTGAGE,11.99,15000
individual,RENT,13.58,12800
individual,MORTGAGE,13.58,4900
individual,RENT,9.44,4000
individual,OWN,7.96,40000
joint,MORTGAGE,26.77,12000
individual,RENT,9.92,6000
individual,MORTGAGE,14.07,26400
individual,MORTGAGE,6.07,10000
individual,RENT,16.01,3000
individual,RENT,13.58,12500
joint,MORTGAGE,10.9,39425
individual,MORTGAGE,13.58,8500
individual,MORTGAGE,20.0,15000
individual,MORTGAGE,10.41,3000
individual,MORTGAGE,6.72,8000
individual,RENT,18.06,18000
individual,MORTGAGE,9.93,8000
individual,OWN,9.93,6000
individual,OWN,12.62,5000
individual,OWN,13.58,10000
individual,RENT,15.05,25000
individual,RENT,9.93,22000
individual,MORTGAGE,12.61,16800
individual,MORTGAGE,10.42,40000
individual,RENT,17.09,10000
individual,RENT,7.97,9000
individual,RENT,18.06,5000
individual,MORTGAGE,12.61,23100
individual,MORTGAGE,6.07,38450
individual,MORTGAGE,9.93,40000
individual,OWN,5.31,21000
joint,OWN,15.04,15000
individual,MORTGAGE,13.59,12000
joint,RENT,10.91,35000
individual,OWN,7.96,18700
individual,MORTGAGE,21.45,8000
individual,MORTGAGE,16.01,5000
individual,RENT,16.02,1000
individual,RENT,12.62,20000
individual,RENT,15.04,20000
individual,RENT,13.58,30000
individual,OWN,6.71,5500
individual,RENT,9.93,14000
individual,OWN,15.05,11000
individual,MORTGAGE,9.43,4200
joint,OWN,11.99,30000
individual,RENT,9.93,10000
individual,MORTGAGE,11.98,11900
individual,OWN,17.09,15000
joint,MORTGAGE,9.44,5000
individual,OWN,9.93,15000
individual,RENT,20.0,26750
individual,MORTGAGE,5.31,6000
individual,OWN,12.62,10000
individual,OWN,23.88,17100
individual,OWN,7.34,3500
individual,RENT,7.34,5000
individual,MORTGAGE,7.96,6750
individual,OWN,9.43,16000
individual,MORTGAGE,15.04,35000
individual,RENT,11.99,15000
individual,RENT,13.58,20000
individual,MORTGAGE,25.82,20000
individual,OWN,5.32,15000
individual,MORTGAGE,10.91,15000
joint,RENT,6.71,21000
individual,MORTGAGE,12.61,3000
individual,MORTGAGE,16.01,27000
individual,MORTGAGE,21.45,15000
individual,RENT,14.07,14400
joint,MORTGAGE,7.34,20000
individual,RENT,18.45,3000
individual,MORTGAGE,22.91,2700
individual,MORTGAGE,19.42,25000
individual,MORTGAGE,7.35,25000
individual,OWN,9.44,40000
individual,RENT,7.97,7000
individual,RENT,17.47,16000
individual,MORTGAGE,16.02,3000
individual,RENT,20.39,8500
individual,RENT,7.96,1800
individual,MORTGAGE,18.45,20000
joint,MORTGAGE,7.34,25000
individual,RENT,10.9,22000
individual,MORTGAGE,12.62,35000
individual,OWN,24.84,30000
individual,MORTGAGE,21.85,30000
individual,MORTGAGE,6.72,10000
joint,MORTGAGE,10.42,28000
joint,MORTGAGE,6.71,6500
individual,RENT,11.98,25000
individual,RENT,16.02,4000
individual,RENT,12.61,8500
individual,RENT,11.99,38500
individual,OWN,19.42,29900
individual,OWN,15.05,24000
individual,OWN,26.3,20000
individual,RENT,17.09,15000
individual,MORTGAGE,16.02,30000
individual,MORTGAGE,7.35,20000
individual,MORTGAGE,6.07,40000
individual,MORTGAGE,6.72,15000
individual,MORTGAGE,18.45,6000
joint,OWN,20.0,5000
individual,MORTGAGE,12.62,36000
joint,MORTGAGE,9.93,15000
joint,OWN,9.43,7000
individual,RENT,9.43,12000
individual,RENT,7.34,11000
individual,RENT,12.61,16000
individual,MORTGAGE,7.97,16800
individual,RENT,17.47,4800
individual,OWN,14.08,22000
individual,MORTGAGE,19.42,4600
individual,MORTGAGE,6.72,18000
joint,MORTGAGE,11.99,12000
individual,MORTGAGE,19.42,15000
joint,MORTGAGE,28.72,30000
individual,OWN,19.42,16000
joint,MORTGAGE,12.61,30000
individual,MORTGAGE,9.44,24000
individual,MORTGAGE,13.58,10800
individual,RENT,21.85,19000
individual,RENT,12.62,28350
individual,RENT,14.07,2000
individual,MORTGAGE,6.72,22000
individual,RENT,14.08,7000
individual,MORTGAGE,9.43,10000
individual,MORTGAGE,16.01,5000
individual,MORTGAGE,10.41,4000
joint,MORTGAGE,13.59,19325
individual,OWN,11.99,12000
individual,MORTGAGE,10.42,2000
individual,OWN,18.06,12800
joint,MORTGAGE,6.71,7000
individual,RENT,13.59,8000
individual,MORTGAGE,21.45,25000
individual,OWN,15.05,8000
individual,MORTGAGE,7.35,40000
individual,OWN,17.47,20000
individual,RENT,6.07,10975
individual,MORTGAGE,21.45,7800
individual,MORTGAGE,26.3,20000
individual,MORTGAGE,7.97,10000
individual,RENT,16.02,10000
individual,OWN,14.08,7500
individual,OWN,11.99,10000
joint,MORTGAGE,17.09,15700
joint,RENT,17.09,25600
joint,RENT,26.3,24600
individual,RENT,6.07,8300
individual,RENT,7.96,18000
individual,RENT,17.09,7500
individual,RENT,6.07,20400
individual,MORTGAGE,13.58,12000
joint,OWN,5.31,9000
individual,MORTGAGE,10.91,40000
individual,MORTGAGE,6.07,25000
joint,RENT,11.98,3000
joint,MORTGAGE,9.44,40000
individual,RENT,15.05,12000
joint,MORTGAGE,7.34,40000
individual,MORTGAGE,10.41,6000
joint,MORTGAGE,13.58,28000
individual,RENT,9.43,14000
individual,MORTGAGE,11.98,26400
individual,OWN,15.04,25000
individual,MORTGAGE,12.62,30000
individual,MORTGAGE,7.96,12000
individual,RENT,15.05,9800
individual,RENT,7.97,15000
individual,MORTGAGE,9.43,3025
individual,OWN,11.99,2500
individual,OWN,6.08,36000
individual,OWN,11.99,24000
individual,RENT,18.45,24000
individual,OWN,11.98,5000
individual,RENT,21.85,9600
individual,RENT,10.42,4800
individual,MORTGAGE,17.09,20000
individual,RENT,9.92,3000
individual,RENT,10.42,29000
individual,MORTGAGE,9.93,3000
joint,MORTGAGE,12.62,2700
individual,RENT,13.59,16000
joint,MORTGAGE,11.99,13000
individual,MORTGAGE,11.99,14400
individual,RENT,16.02,8000
joint,RENT,6.72,25000
individual,OWN,18.06,28000
individual,RENT,9.43,3000
individual,RENT,25.82,24000
joint,MORTGAGE,6.71,24000
individual,MORTGAGE,5.32,20000
joint,OWN,7.97,7000
individual,OWN,9.44,12000
individual,OWN,12.62,11200
individual,MORTGAGE,7.34,38400
individual,MORTGAGE,10.42,18000
individual,RENT,14.07,2000
individual,MORTGAGE,13.58,13000
individual,OWN,9.44,8000
individual,RENT,14.08,17000
individual,MORTGAGE,16.01,40000
individual,RENT,22.9,1000
individual,RENT,17.09,6800
individual,RENT,16.01,35000
individual,MORTGAGE,10.91,24000
individual,RENT,16.01,15000
individual,MORTGAGE,6.72,5000
individual,RENT,15.04,25000
individual,RENT,14.08,25000
individual,MORTGAGE,17.09,15400
individual,RENT,9.44,40000
individual,OWN,14.07,10000
individual,RENT,16.02,20250
individual,MORTGAGE,5.31,12000
individual,MORTGAGE,6.72,7200
individual,MORTGAGE,5.32,10000
individual,RENT,9.93,15000
individual,MORTGAGE,9.93,10000
individual,MORTGAGE,13.59,11000
individual,MORTGAGE,10.9,3000
individual,MORTGAGE,13.59,25000
individual,RENT,6.72,7000
individual,MORTGAGE,10.42,6050
individual,RENT,14.07,10000
individual,RENT,16.02,30000
joint,RENT,15.05,4000
individual,RENT,18.45,5500
individual,MORTGAGE,13.59,6975
individual,RENT,16.01,10000
individual,RENT,15.04,20000
individual,RENT,19.03,15000
individual,MORTGAGE,7.35,40000
joint,MORTGAGE,9.43,10000
individual,RENT,7.97,13500
individual,MORTGAGE,20.39,10000
individual,RENT,10.42,40000
joint,RENT,7.97,20000
individual,MORTGAGE,7.34,10000
individual,RENT,11.98,15000
individual,OWN,12.62,8000
individual,MORTGAGE,15.05,7000
joint,RENT,10.91,9000
individual,MORTGAGE,11.99,22000
individual,RENT,9.44,15500
individual,RENT,9.92,9500
individual,RENT,19.42,10000
individual,OWN,12.62,10000
individual,RENT,14.07,4000
individual,MORTGAGE,14.08,24300
individual,OWN,12.61,35000
individual,OWN,9.93,10000
individual,MORTGAGE,26.3,30000
joint,MORTGAGE,13.59,12000
joint,MORTGAGE,9.93,17000
individual,MORTGAGE,5.31,10000
individual,RENT,6.71,10000
joint,MORTGAGE,14.08,5800
individual,MORTGAGE,9.92,35000
joint,OWN,9.44,13500
individual,OWN,9.93,20000
individual,RENT,10.42,7000
individual,MORTGAGE,14.08,12000
joint,MORTGAGE,7.35,17275
individual,RENT,17.09,35000
joint,MORTGAGE,19.03,3000
individual,RENT,19.42,10000
individual,MORTGAGE,9.93,40000
individual,RENT,10.42,2000
individual,MORTGAGE,13.59,33600
individual,RENT,7.35,3000
joint,RENT,16.01,8000
individual,RENT,11.99,8000
individual,RENT,7.34,3500
joint,OWN,15.05,15000
individual,OWN,14.08,15000
individual,MORTGAGE,7.35,22000
individual,RENT,11.98,13000
