license_issue_date,animal_name,species
2017-09-13,Tempi,Cat
2018-09-04,Angie,Dog
2018-03-30,Lando,Dog
2017-09-29,Neuman,Dog
2018-07-10,Jonesy,Cat
2018-10-12,Blacky,Dog
2018-06-25,Obi,Dog
2017-03-08,Murphy,Dog
2018-05-25,Scuttlebutt,Dog
2017-08-10,Scout,Cat
2017-07-25,Cole,Dog
2018-03-20,Kimber,Dog
2018-06-17,Poco,Dog
2017-04-09,Oreo,Cat
2018-04-03,Koda,Dog
2018-08-10,Jovie,Dog
2018-04-05,Charlie,Dog
2018-03-16,Floof,Cat
2018-05-17,Duke,Dog
2017-11-07,Max,Dog
2017-10-04,Harvey,Dog
2018-04-23,Cream,Cat
2016-12-09,Whoodie Martin,Dog
2018-10-12,Luna,Dog
2017-05-09,Baker,Dog
2017-09-20,Fu,Cat
2018-10-03,Zee,Cat
2018-06-13,Maddy,Dog
2018-02-06,Olive,Cat
2018-10-14,Thaddeus,Cat
2017-02-28,Miles,Cat
2018-07-13,Haley James,Dog
2018-03-29,Leonardo,Cat
2018-03-07,JP Patches,Dog
2017-06-19,Lucy,Dog
2017-05-10,Tiki,Cat
2016-12-22,Gus,Dog
2018-07-16,Spagooter,Dog
2017-07-13,Tibby,Cat
2017-04-18,Apollo,Dog
2017-06-13,Link,Dog
2018-01-24,Tucker,Dog
2018-08-11,Luna,Cat
2018-07-19,Coco,Dog
2017-04-11,Ludo,Dog
2018-06-21,Jimi,Cat
2017-01-26,Belle,Cat
2018-05-13,Alopecia,Cat
2018-06-07,Rosie,Dog
2017-01-10,Dib,Dog
2018-04-06,Lil Dude,Dog
2018-04-26,Duffie,Dog
2017-08-03,Stirling,Dog
2017-01-20,Lady,Dog
2017-12-09,Oliver,Dog
2018-04-20,Vesper,Dog
2017-03-08,Daphne,Cat
2017-07-17,Anubis,Cat
2017-09-29,Nash,Cat
2017-12-04,Sophie,Dog
2018-02-06,Max,Dog
2018-07-24,Klipchuck,Dog
2017-08-07,Edgar,Cat
2018-10-03,Olive,Dog
2018-01-25,Brenda,Cat
2018-05-04,Kudo,Dog
2018-06-12,Joey,Dog
2018-09-26,Rainier Victoria,Dog
2017-01-05,Lucy,Dog
2018-05-15,Scarlett,Dog
2018-02-17,Chutney,Dog
2017-02-21,Wallace,Dog
2018-08-14,Hildy,Dog
2018-07-30,Khloe,Cat
2017-12-19,Harold,Dog
2018-03-20,Maya,Dog
2017-08-15,Moe,Dog
2017-02-03,Squeakers,Cat
2018-05-01,Pete,Dog
2017-01-10,Isabella,Cat
2018-06-02,Tora,Cat
2018-04-17,Gracie,Dog
2018-05-01,Kegan,Dog
2018-02-13,Lola,Dog
2018-05-11,Sadie,Dog
2018-07-27,Bethany,Dog
2018-10-09,Rocky,Dog
2018-09-17,Charlie,Dog
2017-02-16,Sweetness,Dog
2016-10-14,Woody,Dog
2018-07-24,Kyoshi,Cat
2017-03-08,Walter,Dog
2017-02-28,Kisi,Dog
2018-07-05,Loco,Dog
2017-08-15,Baby,Cat
2017-10-04,Spike,Dog
2017-05-03,Kittyhawk,Cat
2017-03-09,Chauncey,Dog
2017-07-28,Carmen,Dog
2018-02-23,Basil,Cat
2016-12-20,Millie,Cat
2018-07-31,Jasper,Cat
2018-05-14,Tabby,Cat
2017-03-13,Reba,Dog
2017-09-01,Beau,Dog
2017-09-19,Spencer,Dog
2017-02-22,Ruby Pearl,Cat
2017-06-30,Sully,Dog
2018-03-20,Zoe,Dog
2018-09-18,Bucky,Dog
2018-09-17,GingerSnap,Cat
2018-05-17,Maya,Dog
2017-12-05,Reva,Cat
2018-01-23,Baloo,Dog
2018-06-16,Leonora,Cat
2017-02-14,Doogan,Dog
2016-11-02,Brownie,Dog
2018-07-05,Jetson,Dog
2017-05-16,Daisy,Dog
2018-01-18,Lilly,Cat
2018-07-31,Isis,Cat
2017-08-24,Daman,Dog
2018-04-27,Clovis,Cat
2018-01-12,Odie,Dog
2018-09-29,Theo,Cat
2017-02-09,Rico Suave,Cat
2017-09-12,Leo,Cat
2018-01-19,Olaf,Cat
2018-03-21,George,Cat
2017-11-20,Butters,Cat
2018-03-30,Buddy,Dog
2018-02-12,Muzby,Dog
2018-10-08,Carmel,Cat
2018-07-25,Eta,Dog
2017-07-01,Cole,Cat
2018-06-20,7's,Dog
2017-01-10,Mina,Dog
2018-02-09,Farrah,Dog
2017-12-22,Chiquito,Dog
2017-04-07,Yuki,Dog
2018-10-10,Chandi,Dog
2018-04-27,Estrella,Dog
2016-11-01,Deacon,Dog
2018-07-30,Oliver,Dog
2017-12-05,Ruby,Dog
2018-04-10,Larry,Dog
2017-11-07,Choe,Dog
2016-11-04,Boston,Dog
2017-08-16,JJ,Dog
2017-09-12,Shine,Cat
2017-07-26,Cowboy,Dog
2018-05-23,Callie,Cat
2018-10-04,Atlas,Dog
2017-09-13,Teddy,Dog
2018-02-07,Spike,Dog
2017-08-23,Rico,Dog
2018-09-14,Rocket,Dog
2018-07-02,Magnolia,Dog
2018-04-20,Loretta,Dog
2018-07-05,Hugo,Dog
2017-07-07,Stella,Dog
2018-01-06,Gnocchi,Cat
2018-08-17,Jack,Cat
2018-01-29,Twitch,Cat
2018-08-07,Freddy,Dog
2018-09-27,Polo,Dog
2018-04-25,Pancakes,Dog
2018-06-15,Gracie,Dog
2017-09-29,Ella,Cat
2017-12-05,Remy,Dog
2018-10-05,Ozzie,Cat
2018-06-21,SweetPea,Dog
2017-10-04,Loki,Dog
2017-08-18,Daisy,Dog
2017-01-09,Hiro,Dog
2018-03-21,Ray,Dog
2016-10-31,Roscoe,Dog
2015-12-10,Trotsky,Dog
2018-09-27,Freckles,Dog
2017-02-13,Bodhi,Dog
2018-09-02,Ella,Dog
2017-10-30,Pluto,Dog
2018-05-14,LeRoy,Dog
2018-04-11,Oliver,Dog
2017-11-25,Diesel,Dog
2018-05-11,Drama,Dog
2018-04-20,Otis,Dog
2017-12-07,Cielo,Dog
2018-10-07,Bailey,Dog
2017-06-14,Sophie,Dog
2017-08-07,Peanut,Cat
2017-11-15,Toshi,Dog
2017-11-21,Holmes,Cat
2017-07-03,Ziggy,Dog
2018-07-17,Annie (Felicia),Cat
2018-07-14,Cutie,Cat
2018-06-12,Rex,Dog
2018-10-14,Renard,Dog
2018-07-31,Pounce,Cat
2017-10-09,Hector,Dog
2017-08-08,Cody,Dog
2017-04-18,Hazel Gray,Cat
2018-02-09,Ringo,Dog
2017-11-13,Charlie,Dog
2017-02-07,Boomer,Dog
2018-02-07,Da,Dog
2017-11-19,Payton,Cat
2016-12-30,Caleb,Dog
2018-03-30,Cayden,Dog
2017-02-23,Panda,Dog
2018-07-03,Silo,Dog
2018-02-20,Jolene,Dog
2018-06-09,Lulu,Dog
2017-08-24,Maya,Dog
2018-07-11,Leon,Dog
2017-03-29,Badger,Dog
2017-02-17,Sophie,Dog
2017-03-30,Newt,Dog
2018-09-03,Tomato,Dog
2018-04-14,Frodo,Dog
2017-07-24,Bubba,Dog
2018-01-16,Satchi,Dog
2018-02-13,Baxter,Cat
2018-05-22,Cleo,Cat
2017-11-21,Aragorn,Cat
2017-03-09,Felicity Jane,Cat
2018-06-15,Shaggy,Dog
2018-05-02,Hulahan,Cat
2017-01-10,Coal,Dog
2018-06-21,Diego,Dog
2018-03-23,Misty,Cat
2017-11-07,Sebastian,Cat
2017-12-28,Gogi,Dog
2017-02-09,Lakkhi,Dog
2017-11-06,Maximus,Cat
2017-10-23,Percy,Cat
2018-01-31,Lynx,Cat
2018-04-04,Nugget,Cat
2018-04-20,Abby,Dog
2017-06-06,Juju,Dog
2018-07-02,Quinn,Dog
2018-09-01,Phoebe,Cat
2018-10-14,Nena,Dog
2017-12-29,Zeke,Dog
2017-11-05,Mundi,Cat
2016-11-30,Baxter,Dog
2018-07-21,Kitty,Cat
2017-04-25,Denali (Laina),Dog
2018-05-21,Foxy Brown Hurley,Cat
2016-07-19,Jin,Dog
2018-05-23,Ferris Bueller,Dog
2018-07-10,Knut,Cat
2018-09-20,Grayson,Dog
2018-01-31,Charlie,Cat
2017-11-06,Jasper,Dog
2018-01-17,Lydia,Dog
2018-07-06,Cookie,Dog
2018-07-05,Hagrid,Cat
2017-09-25,Cecil,Dog
2018-01-25,Abner,Cat
2018-05-02,Mickey,Dog
2017-03-09,Charlie,Cat
2017-08-08,Eleanor,Dog
2018-01-16,LuckyPuppy,Dog
2018-06-04,Misha,Dog
2018-07-24,Ruby,Cat
2017-11-07,Calypso,Cat
2017-11-09,Newton,Cat
2018-05-29,Terence,Dog
2018-10-17,Binx,Cat
2018-04-25,Chula,Dog
2018-08-19,Monty,Dog
2017-11-27,Cesar,Dog
2018-04-10,Ero,Dog
2018-07-13,Tariel,Dog
2018-10-01,Toast,Dog
2018-04-17,Peanut,Dog
2018-10-03,Gino,Dog
2018-04-02,Dan,Dog
2017-03-29,Nadia,Cat
2018-09-30,Conan,Dog
2017-04-11,Vasilisa,Cat
2018-05-07,Langi,Cat
2017-10-25,Mardi,Dog
2018-07-17,Satchel,Cat
2018-07-09,Lila Belle,Dog
2018-08-08,Clementine,Cat
2018-04-13,Guinness,Dog
2017-03-08,Hemingway,Cat
2018-03-20,Tigre,Cat
2017-12-07,Bella Blue,Dog
2017-04-10,Ilsa,Dog
2017-01-25,Midge,Cat
2017-07-22,Muchacho,Dog
2018-10-16,River,Dog
2018-09-23,Mr.Beefy,Dog
2018-09-12,Frankie,Dog
2018-04-03,Mollei,Dog
2018-04-26,Atwood,Dog
2017-05-16,Winnie,Dog
2018-01-06,Mimi,Cat
2018-01-17,Friday,Dog
2018-08-05,Dewey,Cat
2018-10-06,Talia,Dog
2017-12-21,Starz,Dog
2018-10-13,Jack,Dog
2018-05-15,Watson,Dog
2018-08-17,Lyra,Cat
2018-01-23,Tala,Dog
2017-09-20,Chessie,Cat
2016-12-20,Mellow,Dog
2017-07-18,Charlie,Dog
2017-06-07,Junie,Dog
2017-12-05,Jelly Bean,Dog
2018-03-27,Axel,Dog
2018-02-21,Brodie,Dog
2018-09-13,Ellie,Dog
2016-04-05,Ronald,Cat
2018-06-27,Teddie,Cat
2018-04-20,Gus,Dog
2017-03-08,Jarrah,Cat
2018-09-07,Wilson,Dog
2018-08-22,Ellie,Dog
2017-02-07,Cat,Cat
2016-10-13,Jack,Dog
2018-06-10,Queen Clarion,Cat
2015-11-16,Riley,Dog
2017-07-01,Buddy,Cat
2017-07-05,Torch,Cat
2018-09-01,Odin,Dog
2018-02-08,Charlie,Dog
2018-01-23,Mony,Dog
2018-01-23,Rowdy,Dog
2017-11-06,Felipe,Cat
2017-08-08,Ollie (Oliver),Dog
2017-10-10,Rascal,Dog
2017-10-25,Killy,Dog
2018-09-13,Joy,Dog
2017-06-19,Guinness,Dog
2018-08-10,Zeus,Dog
2018-08-24,Cosmos,Dog
2016-11-02,Buster,Dog
2018-04-11,Raven Paw,Cat
2017-03-12,Black Jack,Cat
2017-06-01,Hailey,Dog
2018-07-05,Sparky,Dog
2017-03-14,Coco,Dog
2018-09-11,Tommy,Dog
2017-02-08,Tinker Bell,Dog
2018-01-23,Tess,Dog
2017-02-07,Rylee,Dog
2017-06-30,Nala,Dog
2018-08-17,Max,Dog
2018-05-22,Lulu,Dog
2016-12-05,Libby,Cat
2018-01-19,Howl,Dog
2018-02-01,Lola,Dog
2018-01-23,Missy,Cat
2017-01-12,Callie,Cat
2017-07-18,P-Jo,Dog
2018-06-21,Lulu,Cat
2017-07-27,Sebastian,Dog
2018-07-05,Jasper,Cat
2016-10-14,Loki,Cat
2018-03-30,Lily,Dog
2016-10-26,Shorty,Dog
2017-07-20,Cricket Jones,Dog
2018-04-17,Dixie,Dog
2018-09-19,Kiki,Cat
2018-09-29,Loki,Cat
2017-11-01,Dolce,Cat
2017-07-13,Alvina,Cat
2017-07-13,Jake,Dog
2017-07-10,Harold,Dog
2018-09-29,Jack,Cat
2018-03-07,Sophia,Dog
2017-08-30,Mavis,Dog
2016-02-16,Cooper,Dog
2018-02-09,Rusty,Dog
2017-03-16,,Cat
2018-06-29,ChooChoo,Dog
2017-02-07,Pepper,Cat
2018-04-19,'Murca,Dog
2017-12-26,Alibi,Dog
2017-04-05,Blackie,Dog
2017-01-25,Mona,Dog
2018-02-14,Evander,Dog
2017-03-15,Marley,Dog
2018-03-06,Luna,Cat
2017-01-09,Periwinkle,Dog
2018-02-02,Sampson,Dog
2018-07-20,Oliver,Cat
2017-12-19,Isabelle,Cat
2016-12-17,Jack,Cat
2018-06-17,Lyla,Dog
2018-06-19,Orangy,Cat
2017-11-16,Abraham,Dog
2017-08-07,Sam,Dog
2018-01-11,Puck,Cat
2017-06-12,Nora,Cat
2018-04-11,Osito,Dog
2018-07-30,Max,Dog
2017-06-03,Maverick,Cat
2017-03-15,Hanna,Dog
2018-06-22,Bunny Foo Foo,Dog
2017-12-05,Blaze,Dog
2018-05-27,Buddy,Dog
2018-04-24,Bentley Halterman,Dog
2018-05-08,Siggy,Cat
2018-04-20,Leeloo,Cat
2017-07-13,Dewie,Cat
2018-02-07,Queen,Dog
2016-11-03,Thunder,Dog
2017-07-01,Charlotte,Cat
2017-02-14,Daisie,Dog
2017-07-25,Jasper,Cat
2017-09-11,Star,Dog
2018-02-20,Bua,Cat
2018-06-29,Ani,Dog
2017-12-14,Lady III,Dog
2018-07-08,Nova,Cat
2017-12-05,Gibbs,Cat
2017-10-27,Sal,Cat
2017-09-13,Vader,Cat
2017-07-18,Diesel,Dog
2017-10-27,Hula,Dog
2018-04-20,Frida,Cat
2018-06-20,Trixie,Cat
2018-08-31,Lulu,Dog
2018-02-20,Tucker,Dog
2017-04-10,Sheba,Dog
2018-04-24,Kiko,Dog
2018-01-23,Emma,Dog
2017-12-19,Ginger,Dog
2018-05-03,Kimo,Cat
2017-11-07,Maya,Dog
2018-02-22,Zoey,Dog
2018-10-04,Arlo,Dog
2018-04-06,Cushla,Dog
2017-05-17,Carly,Dog
2018-05-18,Mojo,Dog
2017-12-13,Callie,Cat
2017-05-05,Murphy,Dog
2018-03-21,Ducky,Cat
2018-09-06,Teddy,Cat
2018-02-22,ZOEY JOHNSON,Dog
2018-05-07,Mindy,Cat
2018-05-01,Greta,Dog
2017-08-07,Oliver,Dog
2018-05-23,Bruce Lee,Dog
2018-03-10,Scout,Dog
2017-07-31,Miles,Cat
2015-11-25,Cosmo,Dog
2017-10-26,Bella,Dog
2018-10-07,Ted,Dog
2016-10-14,Charlie,Dog
2016-12-17,Princess Cookie,Cat
2017-05-23,Calli,Dog
2018-09-29,Gambit,Dog
2018-06-16,Pernelli,Cat
2017-09-01,Stella,Dog
2017-03-21,Boo Radley,Dog
2018-07-05,Morrison,Dog
2018-02-24,Winnie,Dog
2017-07-25,Izzy,Dog
2018-01-31,Mabel,Dog
2018-07-10,Miles,Dog
2018-01-09,Killy,Cat
2017-01-10,Apricot,Dog
2016-12-29,Coco,Dog
2018-10-03,Lo,Cat
2017-10-17,Mabel,Dog
2017-07-25,Gus,Dog
2017-08-08,Harley Quinn,Cat
2017-09-26,Anikan,Cat
2018-01-02,Dash,Dog
2018-04-04,Nina,Dog
2018-04-03,Knave,Cat
2018-09-06,Lily,Cat
2018-09-16,Jasmine,Dog
2017-12-12,Edie,Cat
2018-09-01,Otis,Dog
2018-09-24,Nina,Cat
2018-09-14,Falcor,Dog
2018-01-18,Ash,Dog
2017-12-06,Rosco,Dog
2018-02-20,Manny,Dog
2018-03-07,Chico,Dog
2018-03-08,Pepper,Dog
2018-06-26,Mochiko (Mochi),Dog
2017-11-08,Calvin,Dog
2018-06-09,Stella,Dog
2017-07-11,Louie,Dog
2017-08-15,Mona,Dog
2018-10-04,Archie,Dog
2018-01-02,Coconut,Dog
2018-03-06,Maggie,Dog
2018-10-01,Cassius,Dog
2018-07-31,Pepper,Dog
2018-05-04,ChuCho,Dog
2017-09-20,Bilbo,Cat
2018-01-24,Minnow,Cat
2018-09-03,Willow,Dog
2017-12-05,Drizzy,Cat
2018-07-27,Ryley,Dog
2017-10-07,Lollipop,Dog
2018-03-20,Scout,Dog
2018-05-15,Khumba,Dog
2018-02-27,Scout,Cat
2018-03-30,Reggie,Dog
2018-06-25,Quincy,Dog
2017-01-24,Libby Montana,Dog
2017-03-15,Nico,Cat
2016-12-09,Keillor,Dog
2017-02-07,Katy,Cat
2018-01-11,Basil,Dog
2017-01-17,,Cat
2017-07-05,Delilah,Dog
2018-07-16,Mila,Dog
2017-05-04,Mr Bear,Dog
2017-02-21,Tanana,Cat
2018-09-08,Onyx,Dog
2018-03-30,Killua,Cat
2018-06-05,Barkley,Dog
2018-05-09,Luna,Dog
2017-05-09,Beverly,Dog
2018-08-22,Buddy,Cat
2017-10-10,Taylor,Dog
2018-04-19,Zoey,Dog
2018-08-29,Rainier,Dog
2017-03-23,,Cat
2017-12-29,Murphy,Dog
2018-03-30,Leo,Dog
2018-05-27,Little Miss Dublin Maeve of the Emerald Isle,Dog
2018-03-22,Ginger Ale,Cat
2017-02-08,Hercules,Dog
2018-07-31,Shanti,Dog
2018-05-26,Carrie,Dog
2018-09-08,Stella,Dog
2018-09-18,Stella,Cat
2017-06-11,Coco,Dog
2018-06-12,Kona,Dog
2017-04-20,Bauer,Dog
2017-05-11,Birdie,Dog
2018-03-20,Loki,Dog
2017-08-04,Finnegan,Dog
2018-02-28,Seraphina,Dog
2018-05-22,Cinder,Dog
2018-02-16,Richard Parker,Cat
2017-04-15,Max,Dog
2017-11-30,Leeloo Blue Thunder Constanstine,Dog
2018-01-29,Tucker,Dog
2018-03-17,Chanel,Cat
2018-08-24,Maddie,Cat
2017-08-29,Maximus,Dog
2018-01-27,Oreo,Dog
2017-12-05,Jason,Dog
2018-05-02,Elizabeth Swan,Cat
2018-09-24,Mouse Major Tom,Cat
2018-06-12,Lepri,Cat
2018-04-30,Benny,Dog
2018-10-14,Zeruah,Cat
2017-02-11,Pearl,Dog
2018-02-22,Tupelo,Dog
2017-07-27,Duncan,Dog
2016-10-18,Leroy,Dog
2017-07-12,Storm,Cat
2017-11-02,Gypsy Sphinx,Cat
2017-11-27,Hildy,Dog
2018-09-09,Ceili,Dog
2018-07-16,Leeloo Dallas,Dog
2018-09-26,Pepper,Dog
2018-05-22,Luna,Dog
2018-10-09,Lorenzo,Dog
2017-02-28,Dakota,Dog
2018-03-20,Betty,Dog
2017-10-06,Ovaltine,Dog
2017-08-31,Oliver,Dog
2018-06-19,Pepper,Dog
2018-05-29,Angus,Dog
2018-07-27,Jake,Dog
2018-09-02,Jeb,Dog
2018-06-23,,Cat
2017-12-03,Carmen,Cat
2018-03-20,Sasha,Dog
2017-06-06,Mojo,Dog
2018-04-10,Ozzie,Dog
2018-04-24,Penne,Cat
2017-08-07,Murray,Dog
2018-04-19,Sadie,Dog
2017-02-14,Lupin,Dog
2017-03-22,Lucas,Cat
2018-03-22,Hottie,Dog
2017-11-07,Askja,Dog
2018-04-07,Taquita,Cat
2018-07-21,Pansy,Dog
2017-08-15,Radar,Dog
2018-10-14,Luna,Cat
2017-11-13,Miss Paddy,Cat
2018-04-23,Peaches,Cat
2018-02-23,Sophie,Dog
2017-04-12,Brownie,Dog
2018-07-20,Ginger,Dog
2018-08-07,Orly,Dog
2018-06-13,Ding Ding,Dog
2018-10-14,Tiggy,Cat
2018-01-06,Sammy,Dog
2017-08-03,George,Cat
2018-07-03,GiGi,Dog
2017-11-14,Swiffer,Dog
2018-10-14,Padro,Cat
2018-10-09,Piper,Dog
2018-08-07,Ally,Dog
2018-03-24,Ella,Cat
2017-11-10,Loblolly,Cat
2018-08-20,Thea,Cat
2017-03-16,Tripp,Dog
2018-06-12,Matches,Dog
2018-09-19,Chip,Dog
2018-01-30,Papi,Dog
2018-02-20,Kaito,Dog
2018-04-10,Olive,Dog
2018-07-17,Nala,Dog
2017-07-05,Besoleil,Dog
2018-10-17,Kuya,Dog
2017-02-02,Maggie,Dog
2017-10-22,Molly,Dog
2017-11-14,Sadie,Dog
2018-08-07,The Reverend D. Peppercorn,Dog
2017-07-05,Lucy,Dog
2018-07-03,Tulip,Dog
2016-05-19,Katie,Dog
2018-07-24,Milo,Dog
2018-06-20,Pippin,Dog
2016-08-05,Clyde,Cat
2018-02-08,Boddington,Dog
2017-03-23,Jade,Cat
2018-09-09,Hanna,Dog
2018-06-13,Penny,Dog
2017-08-19,Mango,Dog
2018-03-13,Mocha,Dog
2018-01-22,Loki,Cat
2017-07-06,Poogi,Dog
2017-02-14,ChaChi,Dog
2018-07-24,Haiku,Cat
2017-12-05,Leto,Cat
2017-05-17,Maggie,Dog
2018-05-08,Ozzy,Cat
2018-02-27,Davidson,Cat
2018-03-07,,Cat
2017-05-11,Obama,Cat
2018-10-09,Bowie,Dog
2017-08-01,Buttons,Dog
2017-10-24,Spencer,Dog
2018-05-29,Crighton,Cat
2017-09-07,Tater,Dog
2018-09-20,Sofia,Dog
2018-08-13,Gidget Lovecraft,Dog
2017-01-06,Lily Anne,Dog
2018-09-06,Ducky,Cat
2018-06-19,Dingo,Dog
2017-12-08,Wolfie,Dog
2018-05-03,Texas,Cat
2018-08-20,Cleo,Dog
2018-05-01,Sofie,Dog
2017-06-13,Raven,Cat
2018-05-10,Brandy,Cat
2018-05-14,LuLu,Dog
2017-10-10,Dory,Cat
2018-10-03,Dude,Dog
2018-07-25,Sophia,Dog
2018-06-27,Dervala,Cat
2018-06-05,Spider,Cat
2018-05-08,Ozzie,Dog
2017-07-05,Magpie,Cat
2017-08-15,Suzy,Dog
2018-10-16,Marcus,Cat
2017-04-21,Artemis,Dog
2017-12-28,Ruby,Cat
2017-08-09,Daisy,Dog
2018-07-28,Duke,Cat
2018-01-16,Cosmo,Dog
2017-02-14,Smoky Grey,Cat
2018-04-30,Oscar Higgins,Cat
2017-10-17,Sailor,Dog
2018-10-06,Roxie,Dog
2018-06-20,Peaches,Dog
2017-03-08,Tucker,Dog
2017-11-13,Murphy,Dog
2018-09-11,Faith Abigail,Cat
2018-05-08,Autzen,Dog
2017-03-13,Brutus,Dog
2018-05-31,Keystone,Cat
2018-10-12,Louie,Cat
2018-02-06,Doobie,Dog
2018-05-31,Maggie,Dog
2018-05-20,Violet,Dog
2017-11-02,Pinkie,Cat
2018-09-19,Meko,Dog
2018-04-17,Winnie,Dog
2018-08-07,Jolina,Dog
2018-05-16,Ruby,Dog
2018-06-11,Ziggy,Cat
2018-10-07,Suzie,Cat
2017-04-23,Daphne,Cat
2017-12-29,Tucker,Dog
2017-12-12,Sunny,Cat
2017-11-28,Aggie,Dog
2018-08-14,Daisy,Dog
2018-07-24,Monty,Cat
2018-10-02,Biggie Smalls,Dog
2018-08-13,Tala,Dog
2017-11-14,Ishtar,Cat
2017-06-01,Millie,Dog
2017-12-04,Robin,Dog
2018-06-26,Tank,Dog
2018-08-04,Samson,Dog
2018-10-09,Boogie Funkenstein,Dog
2018-09-23,Archer,Dog
2018-09-29,Gus,Cat
2018-07-24,Wally,Dog
2017-12-28,Gizmo,Dog
2018-10-07,Peppy,Dog
2018-02-28,Duke Charles,Dog
2018-04-13,Reba,Dog
2017-11-14,Max,Dog
2018-01-12,Pepper,Dog
2017-12-06,Buck,Dog
2018-06-04,Kaia,Dog
2018-07-10,Roxy,Dog
2017-03-03,Kuper,Dog
2018-04-18,Nala,Dog
2018-04-11,Seva,Cat
2018-10-17,Dizzy,Dog
2018-02-28,DJ,Dog
2018-07-06,Sampson,Dog
2018-06-19,Ruby,Dog
2017-03-15,Pistol,Dog
2017-12-11,Ricky,Dog
2018-03-14,Lady,Dog
2017-07-25,Bailey,Dog
2017-11-07,Elphaba,Dog
2018-08-30,Pixel,Dog
2018-02-07,Butters Dack of Breyerwood,Dog
2018-07-06,Sugar,Dog
2017-12-19,Josie,Dog
2017-03-04,Sequoia,Cat
2017-04-11,Bowie,Cat
2017-04-11,Bender,Cat
2018-08-31,Scooter,Cat
2017-12-12,Pippin,Cat
2017-07-26,Lucy,Dog
2018-06-15,Edgar,Dog
2018-08-04,Tips,Cat
2017-06-14,Desi,Dog
2017-11-20,Dugan,Dog
2017-08-01,Ella,Dog
2017-08-15,Logan,Dog
2018-10-03,Shooting Star Seamus,Dog
2017-11-07,Fenway,Cat
2018-05-29,Oscar,Dog
2018-04-10,Kesa,Cat
2018-10-08,Jack,Dog
2017-11-08,Bob,Dog
2017-11-07,Jake,Cat
2017-10-10,Tala,Dog
2018-01-26,Sadie,Dog
2018-04-17,Cash,Dog
2017-04-18,Max,Dog
2018-04-17,Bindi,Dog
2018-03-19,Cracker,Cat
2018-04-19,Maddi,Dog
2017-04-14,Mari,Dog
2017-09-11,Chuck,Dog
2017-05-09,Henry,Dog
2018-05-29,Ginger,Cat
2018-06-26,Marty,Dog
2017-10-26,Oly,Cat
2017-07-10,Ranger,Dog
2016-12-30,Henry Rollins,Dog
2017-02-21,Basil,Cat
2017-01-11,ReRe,Cat
2017-08-18,Sweetie pie,Cat
2018-06-21,Phoebe,Dog
2018-01-16,Pogo,Cat
2018-06-18,Titus,Dog
2017-08-19,Malachi,Cat
2017-02-28,Clara,Dog
2018-09-12,Tank,Dog
2018-06-21,Roxy,Dog
2018-03-27,Horatio,Dog
2018-04-24,Jasmine,Dog
2017-03-16,Sachiko,Dog
2017-05-08,Mu,Cat
2018-07-03,Beatrice,Dog
2018-07-25,Stella,Dog
2016-12-16,Sadie,Dog
2017-10-17,Wiley,Cat
2017-03-15,Hoshi,Dog
2018-05-25,,Cat
2017-02-14,Sweetie,Cat
2018-06-12,Calvin Chicken Brooks,Dog
2017-01-18,Cody,Dog
2018-02-16,Lola,Dog
2018-06-18,Emerson,Dog
2018-03-30,Tina,Dog
2018-01-09,Ping,Cat
2018-05-27,Lilly,Cat
2018-01-12,Stella,Dog
2017-11-14,Ricky,Dog
2018-02-06,Maggie,Cat
2018-07-11,Pete,Dog
2018-07-18,LuLu,Dog
2017-03-01,Abby,Dog
2018-04-23,Guinness,Dog
2017-09-19,Stanley,Dog
2018-04-23,Bridget,Dog
2017-02-28,Arlie,Dog
2017-12-16,King,Dog
2018-09-15,Fifi,Dog
2018-04-30,Shiloh,Dog
2018-07-25,Jasper,Dog
2017-12-16,Champ,Cat
2017-10-09,Stella,Cat
2018-04-23,Memphis,Dog
2017-08-04,Abby,Dog
2018-06-05,Marla,Dog
2017-07-21,Yeti,Dog
2018-08-09,Beau,Dog
2016-01-20,Artemis,Cat
2018-10-16,Edgar,Cat
2017-03-08,Epley,Dog
2018-09-03,Felix,Dog
2017-02-09,Victor,Dog
2018-01-17,Tiger,Cat
2017-07-27,Kiwi,Dog
2017-07-19,Tobias,Cat
2017-12-19,JJ,Dog
2017-01-11,Phoenix,Dog
2017-10-25,Zuni,Dog
2017-07-10,Betty,Dog
2018-08-04,Sophia,Cat
2018-04-24,Burley,Dog
2018-08-15,Trulo,Dog
2017-01-21,Señor Guapo,Dog
2018-08-12,Xander,Dog
2017-05-15,Baxter,Dog
2018-10-06,Coco,Dog
2017-04-28,Bailey,Dog
2017-12-28,Clancey,Dog
2017-06-16,Baci,Dog
2017-01-29,Comet,Dog
2017-01-10,Lola,Dog
2018-07-25,Star,Dog
2018-10-10,Pudge,Cat
2017-11-02,Buddha,Dog
2017-05-06,Stedman,Cat
2018-07-27,Wowker,Cat
2017-02-07,Trinket,Cat
2018-02-16,Riesen,Cat
2017-12-27,Sophie,Dog
2018-02-02,Genki,Dog
2017-03-21,Mak,Dog
2017-06-15,Lola,Dog
2017-01-25,Chloe,Dog
2017-12-04,Zoei,Dog
2017-04-04,Wheezy,Cat
2018-07-31,Holly,Dog
2018-03-22,Luigi,Dog
2018-05-17,Athena,Dog
2018-05-02,Mr Darcy,Cat
2017-02-01,Tang,Cat
2017-08-08,Ali,Cat
2018-01-30,Bacon,Dog
2018-09-08,Percivale,Dog
